customer_id_legacy,transaction_id,purchase_amount,purchase_date,product_category,customer_rating,customer_rating_interpolated,purchase_amount_noisy,customer_rating_noisy
187,1011,401,2024-01-11,Sports,1.7,1.7,399.81103980390617,1.7993209673179642
106,1047,397,2024-02-16,Sports,1.7,1.7,401.6523386114396,1.7082437397238106
159,1062,186,2024-03-02,Electronics,1.8,1.8,177.48467835507333,1.7996520618170357
123,1013,290,2024-01-13,Clothing,2.0,2.0,304.36016895148043,1.9532946216725973
159,1023,78,2024-01-23,Groceries,2.0,2.0,98.47249728921582,2.031173694451067
117,1080,317,2024-03-20,Electronics,2.1,2.1,313.36212426834027,2.201144661522272
101,1073,145,2024-03-13,Books,2.1,2.1,141.3489390904518,2.0076897445017945
101,1017,271,2024-01-17,Books,2.1,2.1,269.2537571458051,2.122262738341472
114,1003,442,2024-01-03,Electronics,2.1,2.1,430.9976544825794,2.0956465456439366
151,1001,408,2024-01-01,Sports,2.3,2.3,406.64374655693365,2.317263607866379
140,1104,267,2024-04-13,Groceries,2.3,2.3,254.74837784450355,2.260671850571618
180,1069,201,2024-03-09,Electronics,2.3,2.3,206.1593334029663,2.1947966202692926
108,1111,252,2024-04-20,Books,2.3,2.3,242.7731729897051,2.2279107626491883
120,1024,85,2024-01-24,Sports,2.4,2.4,82.65156344027882,2.413529094208253
132,1122,444,2024-05-01,Clothing,2.4,2.4,424.9688982899712,2.495870097171233
194,1088,130,2024-03-28,Electronics,2.4,2.4,132.3414933955339,2.4672947084126635
199,1086,162,2024-03-26,Books,2.5,2.5,168.21469840764138,2.565978293166987
101,1059,408,2024-02-28,Books,2.5,2.5,385.59704848104815,2.474332931069971
164,1142,357,2024-05-21,Sports,2.5,2.5,364.34217563685814,2.5547529971637393
136,1136,452,2024-05-15,Electronics,2.5,2.5,470.3288303865038,2.611306195495687
198,1137,395,2024-05-16,Books,2.5,2.5,384.8935270381683,2.5301244861714247
161,1038,333,2024-02-07,Clothing,2.6,2.6,323.64157875084436,2.6060611367388216
159,1054,495,2024-02-23,Books,2.6,2.6,493.0795512030375,2.5616456956582563
123,1100,175,2024-04-09,Clothing,2.6,2.6,169.40862315052013,2.605250285172109
174,1010,112,2024-01-10,Sports,2.6,2.6,101.39607787879822,2.554214587656173
171,1091,51,2024-03-31,Electronics,2.7,2.7,76.85147130089956,2.7487571160465465
102,1146,88,2024-05-25,Sports,2.7,2.7,87.29362265732712,2.7471549281585963
161,1085,150,2024-03-25,Sports,2.7,2.7,154.44456904658963,2.749569630774386
163,1022,220,2024-01-22,Groceries,2.7,2.7,209.66551249281886,2.6721146850402615
114,1037,183,2024-02-06,Clothing,2.7,2.7,190.35668807372474,2.580422589260976
188,1109,373,2024-04-18,Clothing,2.8,2.8,375.2041363803829,2.751343294278323
134,1120,147,2024-04-29,Groceries,2.8,2.8,145.27502039103913,2.8092959465603373
171,1004,256,2024-01-04,Clothing,2.8,2.8,275.0775971954339,2.7437804330818496
108,1056,165,2024-02-25,Groceries,2.8,2.8,153.56100886104224,2.768822390559443
159,1035,111,2024-02-04,Books,2.9,2.9,108.32492274551274,2.762846121957764
158,1032,115,2024-02-01,Electronics,2.9,2.9,114.38413200823327,2.909268155292044
184,1096,273,2024-04-05,Clothing,3.0,3.0,256.2362617145719,2.9385036267819395
110,1117,329,2024-04-26,Sports,3.0,3.0,325.63163615853256,3.100557956405475
191,1034,94,2024-02-03,Electronics,3.0,3.0,133.5282284454527,2.865833423843245
189,1149,178,2024-05-28,Sports,3.0,3.0,165.5850183427711,3.0192494449165364
163,1044,495,2024-02-13,Sports,3.0,3.0,501.6867850227817,2.935828233810356
189,1057,282,2024-02-26,Groceries,3.2,3.2,283.50657887293767,3.129911465908291
137,1020,286,2024-01-20,Electronics,3.2,3.2,270.975335788613,3.2046906484972175
107,1119,421,2024-04-28,Sports,3.2,3.2,402.1624599332849,3.117451138104623
102,1014,101,2024-01-14,Electronics,3.2,3.2,76.73332943655636,3.165583336888745
177,1145,177,2024-05-24,Groceries,3.2,3.2,201.01432918914253,3.0816020195051803
188,1053,332,2024-02-22,Groceries,3.3,3.3,333.33540620788085,3.316283782407083
144,1107,465,2024-04-16,Clothing,3.3,3.3,471.09213170296636,3.1870644865660798
117,1051,434,2024-02-20,Sports,3.3,3.3,422.92651478026346,3.280252527643737
101,1021,192,2024-01-21,Groceries,3.4,3.4,204.36927215965687,3.471656394830902
106,1126,250,2024-05-05,Clothing,3.5,3.5,244.85225140133537,3.5075276690846455
164,1108,296,2024-04-17,Groceries,3.5,3.5,289.6528568144131,3.5001753011877375
146,1040,157,2024-02-09,Books,3.5,3.5,134.89943029232558,3.461445608553297
103,1076,162,2024-03-16,Sports,3.5,3.5,172.32191063146877,3.4374992584842454
113,1055,170,2024-02-24,Groceries,3.6,3.6,179.53925779596494,3.613265707883195
150,1046,177,2024-02-15,Books,3.6,3.6,186.77440730886917,3.613844324947845
172,1049,239,2024-02-18,Electronics,3.6,3.6,227.40664214907883,3.578734733665507
152,1016,437,2024-01-16,Books,3.6,3.6,429.8867537329251,3.670707043934967
134,1067,283,2024-03-07,Sports,3.7,3.7,273.74475230035216,3.741324507801834
187,1112,233,2024-04-21,Sports,3.7,3.7,233.36824108607075,3.6411406313141423
174,1009,228,2024-01-09,Electronics,3.8,3.8,232.17130844941124,3.7595861060849565
111,1129,375,2024-05-08,Clothing,3.8,3.8,383.79955851286127,3.7745537672051994
153,1075,229,2024-03-15,Groceries,3.8,3.8,236.35691901941783,3.7262747167145225
147,1132,197,2024-05-11,Clothing,3.8,3.8,199.38930802710559,3.85386084979034
190,1031,333,2024-01-31,Groceries,3.8,3.8,336.1751859131682,3.798246146117351
121,1015,145,2024-01-15,Sports,3.9,3.9,144.0139508825529,3.831136006175315
192,1078,491,2024-03-18,Books,3.9,3.9,492.94462812713675,3.919872175464783
129,1019,280,2024-01-19,Electronics,4.0,4.0,259.9184713837953,3.921017339675447
177,1092,179,2024-04-01,Clothing,4.0,4.0,149.21011953158987,4.0457521190134775
186,1093,269,2024-04-02,Clothing,4.0,4.0,265.70717974450133,3.967478293631294
143,1082,435,2024-03-22,Groceries,4.0,4.0,415.99133963847953,3.894139988713398
132,1025,62,2024-01-25,Electronics,4.0,4.0,90.0570494269445,3.998690197432355
127,1125,146,2024-05-04,Electronics,4.0,4.0,146.32153707006736,4.048767090782368
134,1141,248,2024-05-20,Books,4.0,4.0,255.2129899347665,3.974721240940947
100,1113,172,2024-04-22,Clothing,4.0,4.0,189.71914771670052,3.931245651689999
146,1144,473,2024-05-23,Sports,4.1,4.1,470.9078816308796,4.123887381999348
113,1087,489,2024-03-27,Books,4.1,4.1,497.4027397532055,4.1686187284691245
133,1083,436,2024-03-23,Sports,4.2,4.2,427.82623449286143,4.188325810641175
162,1079,101,2024-03-19,Books,4.2,4.2,107.88097402460771,4.122091558713647
192,1002,332,2024-01-02,Electronics,4.2,4.2,331.9308183398061,4.1763747430102764
187,1115,304,2024-04-24,Sports,4.2,4.2,304.37588984612205,4.2753712388138565
107,1114,450,2024-04-23,Electronics,4.2,4.2,480.16831751360803,4.066420876625419
186,1008,429,2024-01-08,Clothing,4.3,4.3,427.39905774812985,4.343125587855159
132,1131,308,2024-05-10,Sports,4.3,4.3,302.5724092693384,4.339971849917416
179,1097,274,2024-04-06,Groceries,4.3,4.3,275.3503061122722,4.306617750960554
103,1072,209,2024-03-12,Sports,4.3,4.3,243.16765861885892,4.388154599849242
143,1138,196,2024-05-17,Sports,4.3,4.3,189.17906117422262,4.317633920856101
114,1090,162,2024-03-30,Clothing,4.4,4.4,161.0524768413374,4.393935601670755
102,1045,380,2024-02-14,Electronics,4.4,4.4,390.20538604216057,4.34721050850764
148,1030,135,2024-01-30,Sports,4.4,4.4,138.4630419991769,4.346760014278708
153,1077,367,2024-03-17,Electronics,4.5,4.5,376.9023331440936,4.395378659277353
188,1102,102,2024-04-11,Electronics,4.6,4.6,109.55671791879436,4.5630506805499795
191,1061,460,2024-03-01,Sports,4.6,4.6,442.8659525060119,4.597451000148569
100,1147,387,2024-05-26,Books,4.6,4.6,382.92754225063857,4.522346071548208
134,1121,247,2024-04-30,Sports,4.6,4.6,235.30829549608603,4.567517617006015
139,1095,392,2024-04-04,Clothing,4.6,4.6,386.82893499889565,4.584772157558169
152,1099,452,2024-04-08,Clothing,4.6,4.6,439.32194698174675,4.664466143997307
114,1106,247,2024-04-15,Clothing,4.8,4.8,240.0295852328585,4.826701633303729
152,1058,308,2024-02-27,Clothing,4.8,4.8,304.1116163151308,4.728947308388764
185,1139,197,2024-05-18,Sports,4.8,4.8,196.94428829345594,4.791144482886926
103,1052,426,2024-02-21,Groceries,4.8,4.8,411.22051000834017,4.788016135303878
187,1018,456,2024-01-18,Groceries,4.8,4.8,467.7505380615202,4.732772091775089
128,1105,209,2024-04-14,Books,4.8,4.8,202.49007560939012,4.644769704184186
183,1060,247,2024-02-29,Electronics,4.8,4.8,244.7953624984418,4.841640326133735
187,1135,469,2024-05-14,Books,4.9,4.9,473.4411190298801,4.833145059413854
190,1140,401,2024-05-19,Sports,4.9,4.9,415.3954377225477,4.921399921882115
182,1007,91,2024-01-07,Sports,4.9,4.9,82.38458964547875,4.871369320882689
173,1084,162,2024-03-24,Electronics,5.0,5.0,173.1719702706383,4.981490986527327
161,1039,77,2024-02-08,Groceries,,5.0,66.2403557284719,4.928368122547376
150,1042,389,2024-02-11,Sports,,5.0,371.61845346648823,5.0
154,1043,335,2024-02-12,Electronics,,5.0,326.6314627184242,4.987740200368637
135,1070,364,2024-03-10,Electronics,,5.0,356.2325174121724,5.0
189,1081,344,2024-03-21,Books,,5.0,340.41720068170497,4.974023111153508
147,1089,236,2024-03-29,Groceries,,5.0,234.76799886896762,4.966828330694431
181,1098,434,2024-04-07,Clothing,,5.0,451.2858764695389,5.0
125,1101,179,2024-04-10,Electronics,,5.0,182.34288973016868,4.997980115907254
170,1110,488,2024-04-19,Electronics,,5.0,473.392411446564,4.9639166750409975
198,1143,466,2024-05-22,Books,,5.0,455.9336762543388,5.0
143,1082,435,2024-03-22,Groceries,4.0,4.0,415.99133963847953,3.894139988713398
174,1009,228,2024-01-09,Electronics,3.8,3.8,232.17130844941124,3.7595861060849565
177,1068,221,2024-03-08,Groceries,1.3,1.3,210.31182109016348,1.270828608970579
100,1113,172,2024-04-22,Clothing,4.0,4.0,189.71914771670052,3.931245651689999
189,1149,178,2024-05-28,Sports,3.0,3.0,165.5850183427711,3.0192494449165364
146,1066,356,2024-03-06,Groceries,1.4,1.4,343.2769874464444,1.3771426224352907
143,1082,435,2024-03-22,Groceries,4.0,4.0,415.99133963847953,3.894139988713398
148,1030,135,2024-01-30,Sports,4.4,4.4,138.4630419991769,4.346760014278708
137,1020,286,2024-01-20,Electronics,3.2,3.2,270.975335788613,3.2046906484972175
150,1046,177,2024-02-15,Books,3.6,3.6,186.77440730886917,3.613844324947845
179,1097,274,2024-04-06,Groceries,4.3,4.3,275.3503061122722,4.306617750960554
129,1019,280,2024-01-19,Electronics,4.0,4.0,259.9184713837953,3.921017339675447
132,1025,62,2024-01-25,Electronics,4.0,4.0,90.0570494269445,3.998690197432355
152,1058,308,2024-02-27,Clothing,4.8,4.8,304.1116163151308,4.728947308388764
198,1143,466,2024-05-22,Books,,5.0,455.9336762543388,5.0
198,1137,395,2024-05-16,Books,2.5,2.5,384.8935270381683,2.5301244861714247
138,1050,274,2024-02-19,Electronics,1.1,1.1,270.0247934941811,1.1000747428919453
150,1046,177,2024-02-15,Books,3.6,3.6,186.77440730886917,3.613844324947845
117,1080,317,2024-03-20,Electronics,2.1,2.1,313.36212426834027,2.201144661522272
114,1106,247,2024-04-15,Clothing,4.8,4.8,240.0295852328585,4.826701633303729
146,1066,356,2024-03-06,Groceries,1.4,1.4,343.2769874464444,1.3771426224352907
171,1091,51,2024-03-31,Electronics,2.7,2.7,76.85147130089956,2.7487571160465465
159,1103,221,2024-04-12,Electronics,1.4,1.4,231.38587209013446,1.4190128139533502
172,1049,239,2024-02-18,Electronics,3.6,3.6,227.40664214907883,3.578734733665507
199,1086,162,2024-03-26,Books,2.5,2.5,168.21469840764138,2.565978293166987
102,1146,88,2024-05-25,Sports,2.7,2.7,87.29362265732712,2.7471549281585963
177,1068,221,2024-03-08,Groceries,1.3,1.3,210.31182109016348,1.270828608970579
164,1142,357,2024-05-21,Sports,2.5,2.5,364.34217563685814,2.5547529971637393
146,1144,473,2024-05-23,Sports,4.1,4.1,470.9078816308796,4.123887381999348
159,1054,495,2024-02-23,Books,2.6,2.6,493.0795512030375,2.5616456956582563
